date,Temp(degC),Air_temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm)
2020-01-01 00:00:00,25.619,27.762,34.046,8.3158,8.1548,0.00102
2020-01-01 00:05:00,25.623,27.81,34.084,8.3184,8.1587,0.00102
2020-01-01 00:10:00,25.625,27.819,34.105,8.3198,8.1589,0.00102
2020-01-01 00:15:00,25.623,27.768,34.098,8.319,8.1536,0.00102
2020-01-01 00:20:00,25.619,27.686,34.084,8.3169,8.145,0.00102
2020-01-01 00:25:00,25.615,27.594,34.076,8.3139,8.1347,0.00102
2020-01-01 00:30:00,25.609,27.459,34.057,8.3089,8.1196,0.00102
2020-01-01 00:35:00,25.6,27.276,34.026,8.3016,8.0993,0.00102
2020-01-01 00:40:00,25.591,27.086,33.999,8.2943,8.0776,0.00102
2020-01-01 00:45:00,25.583,26.909,33.98,8.2885,8.0564,0.00102
2020-01-01 00:50:00,25.577,26.829,34.0725,8.2839,8.0357,0.00102
2020-01-01 00:55:00,25.574,26.7275,34.08,8.2817,8.0172,0.00102
2020-01-01 01:00:00,25.571,26.61625,34.082,8.2802,7.9978,0.00102
2020-01-01 01:05:00,25.568,26.490125,34.083,8.2785,7.9752,0.00102
2020-01-01 01:10:00,25.566,26.3625625,34.0825,8.2782,7.9523,0.00102
2020-01-01 01:15:00,25.566,26.24078125,34.08225,8.2795,7.9291,0.00102
2020-01-01 01:20:00,25.566,26.12089062,34.082125,8.2817,7.9166,0.00102
2020-01-01 01:25:00,25.568,25.99994531,34.0820625,8.2848,7.8968,0.00102
2020-01-01 01:30:00,25.571,25.87397266,34.08203125,8.2887,7.872,0.00102
2020-01-01 01:35:00,25.574,25.73548633,34.08204688,8.2931,7.84285,0.00102
2020-01-01 01:40:00,25.579,25.59324316,34.08205469,8.2961,7.810675,0.00102
2020-01-01 01:45:00,25.5825,25.45762158,34.08205859,8.3019,7.7766875,0.00102
2020-01-01 01:50:00,25.58925,25.32781079,34.08206055,8.31005,7.74084375,0.00102
2020-01-01 01:55:00,25.591625,25.2054054,34.08206152,8.308175,7.703271875,0.00102
2020-01-01 02:00:00,25.5904375,25.0892027,34.08206201,8.3072375,7.666085938,0.00102
2020-01-01 02:05:00,25.58984375,24.97610135,34.08206226,8.30676875,7.631742969,0.00102
2020-01-01 02:10:00,25.58954687,24.86705067,34.08206238,8.306534375,7.606771484,0.00102
2020-01-01 02:15:00,25.58939844,24.76502534,34.08206244,8.306417187,7.594285742,0.00102
2020-01-01 02:20:00,25.58932422,24.66901267,34.10303122,8.306358594,7.588042871,0.00102
2020-01-01 02:25:00,25.58928711,24.57900633,34.16151561,8.306329297,7.584921436,0.00102
2020-01-01 02:30:00,25.58926855,24.49550317,34.2582578,8.306314648,7.583360718,0.00102
2020-01-01 02:35:00,25.58925928,24.41825158,34.3956289,8.306321973,7.582580359,0.00102
2020-01-01 02:40:00,25.58925464,24.34562579,34.55181445,8.306325635,7.5689,0.00102
2020-01-01 02:45:00,25.58612732,24.2758129,34.70290723,8.306327466,7.5777,0.00102
2020-01-01 02:50:00,25.58556366,24.20740645,34.83745361,8.30632655,7.5818,0.00102
2020-01-01 02:55:00,25.58584549,24.13920322,34.93872681,8.306326093,7.577,0.00102
2020-01-01 03:00:00,25.5859864,24.07060161,35.0033634,8.306325864,7.5691,0.00102
2020-01-01 03:05:00,25.58605686,24.00180081,35.0356817,8.306325749,7.5624,0.00102
2020-01-01 03:10:00,25.58609209,23.9319004,35.05184085,8.306325692,7.5498,0.00102
2020-01-01 03:15:00,25.5861097,23.8589502,35.05992043,8.306325663,7.5304,0.00102
2020-01-01 03:20:00,25.58611851,23.7869751,35.06396021,8.3078,7.5092,0.00102
2020-01-01 03:25:00,25.58612292,23.71948755,35.075,8.3108,7.4879,0.00102
2020-01-01 03:30:00,25.582,23.65774378,35.0715,8.306325649,7.4667,0.00102
2020-01-01 03:35:00,25.585,23.60487189,35.07325,8.302262825,7.4481,0.00102
2020-01-01 03:40:00,25.58906146,23.55893594,35.074125,8.293181412,7.43705,0.00102
2020-01-01 03:45:00,25.59503073,23.51746797,35.0745625,8.281340706,7.416725,0.00102
2020-01-01 03:50:00,25.60451536,23.48123399,35.07478125,8.265420353,7.3898125,0.00102
2020-01-01 03:55:00,25.61675768,23.45211699,35.07489063,8.251810177,7.35715625,0.00102
2020-01-01 04:00:00,25.63037884,23.4265585,35.07494531,8.253255088,7.322278125,0.00102
2020-01-01 04:05:00,25.63668942,23.40277925,35.07497266,8.253977544,7.289939063,0.00102
2020-01-01 04:10:00,25.63984471,23.37888962,35.087,8.254338772,7.261269531,0.00102
2020-01-01 04:15:00,25.64142236,23.35244481,35.075,8.254519386,7.243784766,0.00102
2020-01-01 04:20:00,25.64221118,23.32472241,35.07,8.254609693,7.235042383,0.00102
2020-01-01 04:25:00,25.64260559,23.2978612,35.0755,8.25456454,7.230671191,0.00102
2020-01-01 04:30:00,25.64280279,23.2699306,35.07525,8.254541963,7.228485596,0.00102
2020-01-01 04:35:00,25.6429014,23.2409653,35.075125,8.254530674,7.2147,0.00102
2020-01-01 04:40:00,25.648,23.21248265,35.0750625,8.25452503,7.2263,0.00102
2020-01-01 04:45:00,25.644,23.18674133,35.07503125,8.254522208,7.2262,0.00102
2020-01-01 04:50:00,25.643,23.16487066,35.07501563,8.254520797,7.2152,0.00102
2020-01-01 04:55:00,25.6485,23.15243533,35.07500781,8.254520092,7.20175,0.00102
2020-01-01 05:00:00,25.65325,23.14621767,35.07501172,8.254519739,7.177475,0.00102
2020-01-01 05:05:00,25.660625,23.14310883,35.07500977,8.254519562,7.1460875,0.00102
2020-01-01 05:10:00,25.6708125,23.14155442,35.07501074,8.254109781,7.10479375,0.00102
2020-01-01 05:15:00,25.68540625,23.14077721,35.07501367,8.247854891,7.051296875,0.00102
2020-01-01 05:20:00,25.70170313,23.138,35.07501465,8.249077445,6.993098438,0.00102
2020-01-01 05:25:00,25.71835156,23.14,35.07501514,8.249688723,6.961849219,0.00102
